Date,Close,High,Low,Open,Volume
2015-01-02,24.320432662963867,24.78980179223696,23.87998139150813,24.778678625376525,212818400
2015-01-05,23.63528633117676,24.16916607950061,23.448429352699723,24.089084032394183,257142000
2015-01-06,23.63751220703125,23.89777802149258,23.274918008457785,23.699797868903328,263188400
2015-01-07,23.968957901000977,24.06905959852298,23.73538501057401,23.846609873223667,160423600
2015-01-08,24.8899040222168,24.947741436209547,24.180288730141065,24.29818853097625,237458000
2015-01-09,24.91659164428711,25.19242880009536,24.51618150105212,25.063407565368912,214798000
2015-01-12,24.302640914916992,25.054520636136424,24.202539182688724,25.04784741360885,198603200
2015-01-13,24.518409729003903,25.092330444797703,24.227001123216635,24.78757370102578,268367600
2015-01-14,24.42499351501465,24.57848275308722,24.13580803936656,24.25593115861311,195826400
2015-01-15,23.7620849609375,24.48282175865421,23.726493879364345,24.469475315208918,240056000
2015-01-16,23.577451705932617,23.931147738638376,23.40171617608169,23.80879968078104,314053200
2015-01-20,24.18473625183105,24.240348687400143,23.690897552432435,23.988979392447472,199599600
2015-01-21,24.36937522888184,24.705273190593893,24.08463807142108,24.235903996851988,194303600
2015-01-22,25.00335502624512,25.018926442594392,24.40718956191167,24.52731264395913,215185600
2015-01-23,25.13237190246582,25.30365745231713,24.80981876719715,24.981106014205256,185859200
2015-01-26,25.159069061279297,25.43935625129226,25.09233514747617,25.3014367806478,222460000
2015-01-27,24.27816200256348,25.021144940628663,24.253692397895797,25.007796803528414,382274800
2015-01-28,25.650678634643555,26.275763549784088,25.650678634643555,26.166761956683068,585908400
2015-01-29,26.449275970458984,26.513786602486174,25.70629291293627,25.875355200415918,337745600
2015-01-30,26.062217712402344,26.69397428927985,25.993257124754823,26.338054971520894,334982000
2015-02-02,26.389205932617188,26.50932896805157,25.821960245304005,26.26018640314153,250956400
2015-02-03,26.393665313720703,26.491542057577952,26.16231735133231,26.36029750908792,207662800
2015-02-04,26.596088409423828,26.807416665129097,26.31802625493535,26.360292245507747,280598800
2015-02-05,26.78591728210449,26.850682501188462,26.63182066759936,26.803782198105004,168984800
2015-02-06,26.56035804748535,26.8551504836002,26.453160023509596,26.80378437331176,174826400
2015-02-09,26.73678970336914,26.763587934082143,26.44869679621969,26.475496730787643,155559200
2015-02-10,27.25044631958008,27.279480012235624,26.835058348126257,26.83729039844191,248034000
2015-02-11,27.889158248901367,27.89809155998224,27.3576390185011,27.417936738478385,294247200
2015-02-12,28.24201393127441,28.46980908453516,28.0432524624839,28.152682532032056,297898000
2015-02-13,28.3804874420166,28.42515230506543,28.06112873003708,28.42515230506543,217088800
2015-02-17,28.54797744750977,28.782472190621917,28.344748442965244,28.47204515109199,252609600
2015-02-18,28.74673843383789,28.760137549027505,28.4631113340549,28.503310383478677,179566800
2015-02-19,28.68644142150879,28.815971892090445,28.659643188874703,28.69314097966731,149449600
2015-02-20,28.92093276977539,28.92093276977539,28.597108335362325,28.724403333073504,195793600
2015-02-23,29.702579498291016,29.702579498291016,28.956665913703063,29.037064009555703,283896400
